,Nr. crt.,Nr. dosar,Listă opțiuni (media pe opțiune),Medie Bac,Nota D. Oblig.,Nota D. Profil,NLbRo Bac,Notă M Bac,Notă TG,Medie Adm Opt1,Medie Adm Admis,Facultate admis,Domeniu admis,Nr. ordine,Tip loc admis,Termen confirmare,Nr. opțiune,RP,MR,ER,PS,CES,SRI,STS,Observații,Mențiuni
143,144,AC-336,"AC-CTI-B (8.08), AC-CTI-T (8.08), AC-AIASI-B (8.08), AC-AIASI-T (8.08), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs), CI-II-B (abs), CI-ICIV-B (abs), CI-IMC-B (abs), CI-II-T (abs), CI-ICIV-T (abs), CI-IMC-T (abs)",8.83,8.85,9.35,8.3,8.85,7.9,8.08,8.08,AC,CTI-B,144,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
144,145,AC-271,"AC-CTI-B (8.02), AC-CTI-T (8.02), AC-AIASI-B (8.02), AC-AIASI-T (8.02), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.73,9.6,9.85,9.75,9.6,7.6,8.02,8.02,AC,CTI-B,145,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
145,146,AC-209,"AC-CTI-B (8.01), AC-AIASI-B (8.01), AC-CTI-T (8.01), AC-AIASI-T (8.01), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-T (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs), IEEIA-IE-T (abs), IEEIA-IEN-T (abs), IEEIA-IMGM-T (abs)",8.45,8.85,10.0,6.5,8.85,7.9,8.01,8.01,AC,CTI-B,146,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
146,147,AC-319,"AC-CTI-B (8.01), AC-CTI-T (8.01), AC-AIASI-B (8.01), AC-AIASI-T (8.01), ETTI-IETTI-B (abs)",9.65,10.0,9.5,9.45,10.0,7.6,8.01,8.01,AC,CTI-B,147,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
147,148,AC-440,"AC-CTI-B (8.00), AC-CTI-T (8.00)",8.43,8.0,9.5,7.8,8.0,7.9,8.0,8.0,AC,CTI-B,148,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
148,149,AC-460,"AC-CTI-B (7.99), ETTI-IETTI-B (abs)",9.55,9.75,9.85,9.05,9.75,7.6,7.99,7.99,AC,CTI-B,149,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
149,150,AC-243,"AC-CTI-B (7.99), AC-CTI-T (7.99), AC-AIASI-B (7.99), AC-AIASI-T (7.99)",9.58,9.5,9.6,9.65,9.5,7.6,7.99,7.99,AC,CTI-B,150,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
150,151,AC-176,"AC-CTI-B (7.99), AC-AIASI-B (7.99), AC-CTI-T (7.99), AC-AIASI-T (7.99)",9.58,9.25,9.8,9.7,9.25,7.6,7.99,7.99,AC,CTI-B,151,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
151,152,AC-277,"AC-CTI-B (7.98), AC-CTI-T (7.98), AC-AIASI-B (7.98), AC-AIASI-T (7.98), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs)",8.33,8.45,8.55,8.0,8.45,7.9,7.98,7.98,AC,CTI-B,152,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
152,153,AC-339,"AC-CTI-B (7.97), AC-CTI-T (7.97), AC-AIASI-B (7.97), AC-AIASI-T (7.97), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs)",9.46,10.0,9.75,8.65,10.0,7.6,7.97,7.97,AC,CTI-B,153,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
153,154,AC-88,"AC-CTI-B (7.97), AC-AIASI-B (7.97), AC-CTI-T (7.97), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), MEC-MR-B (abs)",9.45,9.8,9.3,9.25,9.8,7.6,7.97,7.97,AC,CTI-B,154,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
154,155,AC-351,"AC-CTI-B (7.97), AC-AIASI-B (7.97), ETTI-IETTI-B (abs)",9.48,9.75,9.85,8.85,9.75,7.6,7.97,7.97,AC,CTI-B,155,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
